CODIGO PROGRAMA;NOME PROGRAMA;2010;2011;2012;2013;2014;2015
2825;ASSESSORAMENTO E COORDENACAO POLITICA DO GOVERNO;0;0;0;0;0;259289305,19999972
100;APOIO ADMINISTRATIVO;0;0;0;0;0;7069855194,280069
4414;SAUDE E QUALIDADE DE VIDA DO SERVIDOR;0;0;4862277,550000001;18581805,770000007;4584432,2;4310402,9799999995
1203;FORMACAO CULTURAL;150722600,03000003;147002715,3;30476556,759999998;30628880,880000006;112413483,77;98651644,19000001
2506;PRO-LAR;0,0;0,0;0,0;0,0;0;0
2602;EDUCACAO AMBIENTAL;2138515,52;1965820,7499999998;2524530,0300000003;2501423,4599999995;1139658,85;1082351,66
1709;REGULARIZACAO FUNDIARIA;542762,2899999999;787073,0199999994;0,0;0,0;0;0
2909;GESTAO EM PLANEJAMENTO E DESENVOLVIMENTO REGIONAL;131656247,33000018;137805963,01999995;127208366,06000005;170996205,75000006;140744450,8100001;0
2611;GESTAO DOS RECURSOS HIDRICOS;71522140,35;80553484,36999999;0,0;0,0;0,0;0
2916;SAO PAULO: TERRITORIO E CARTOGRAFIA;44755332,64999998;53503871,03999999;305574,9;8250147,430000001;5572682,58;5207077,29
2303;LAZER DO TRABALHADOR;0,0;0;0;0;0;0
3806;GESTAO DO SISTEMA PRISIONAL;1937953068,9000235;2182488449,350035;0,0;0,0;0,0;0
4802;FOMENTO AO DESENVOLVIMENTO SUSTENTAVEL DA MACROMETROPOLE PAULISTA;0;0;64000000,0;68900000,0;68900000,0;52000000,0
4412;GESTAO PARA RESULTADOS;0;0;2667855,0;71280,0;91476,0;0,0
1024;ENSINO PUBLICO TECNICO;1084496532,9299982;1206395343,5900033;0,0;0,0;0,0;0,0
940;GESTAO EM SAUDE;0;0;36202332,0;92372222,02999984;30543375,07;0
4804;PLANEJAMENTO E ARTICULACAO PARA DESENVOLVIMENTO SUSTENTAVEL DA MACROMETROPOLE;0;0;58070730,26999995;61031509,93999987;54153793,549999975;54139260,679999985
3515;REDE SOCIAL SAO PAULO;0;0;5335829,379999999;2971681,09;1940936,0;101781,0
1726;ASSISTENCIA AO ADOLESCENTE EM CONFLITO COM A LEI;0,0;0;0;0;0;0
4101;ESPORTE SOCIAL;0,0;0,0;0;0;0;0
2801;SALVANDO VIDAS - DEFESA CIVIL;23407277,680000007;15775731,699999997;14295868,9;24235505,359999992;20820429,360000003;16026859,870000003
1037;QUALIDADE DA ENGENHARIA E DA INFRAESTRUTURA PAULISTA;133873959,99999994;141169049,26999977;0,0;0,0;0,0;0
1218;FOMENTO CULTURAL E ECONOMIA CRIATIVA;0;0;25510200,0;29187500,0;44211800,0;39830400,0
2815;GOVERNO ELETRONICO I - INFRA-ESTRUTURA;0,0;0,0;0,0;0,0;0,0;0
4301;ASSISTENCIA MEDICA, HOSPITALAR E AMBULATORIAL EM HOSPITAIS UNIVERSITARIOS;851334024,9999969;910163174,9899982;0,0;0,0;0,0;0
2904;SISTEMA ESTADUAL DE ANALISE DE DADOS;0,0;0;0;0;0;0
936;FORNECIMENTO DE SANGUE, COMPONENTES E DERIVADOS;0;0;0;0;0;86314184,89000003
